gene,培養時間,glk,agp,yihX,pgm,ptsG,malx,crr,galM,yihR,yeaD,pgi,ascF,chbF,ascB,bglA,bglB,yggF,glpX,fbp,pfkB,pfkA,fbaB,fbaA,tpiA,gapA,pgk,gpmA,ytjc,gpmM,eno,pykF,pykA,ppsA
168,21 h 40 min,29.91849327,29.92448997,28.89319229,29.91889572,27.90544319,30.92874146,27.93632507,31.93849373,33.91801834,29.90286064,28.91051102,31.93281746,32.9090271,31.92320061,32.92227936,32.92511749,31.90558624,29.87874794,30.95442963,31.96013451,28.90453529,27.91086006,29.95337296,30.93343163,27.92943573,27.93313789,27.93358994,31.9374485,31.8968277,27.93540955,28.93719673,30.93386269,29.92129898
169,21 h 50 min,29.92009926,29.92553902,28.89237595,29.88946915,27.89466667,30.91805458,27.93128967,31.93210983,32.92858505,30.93228149,28.91260147,32.90908051,33.9270134,30.93154716,31.93316269,34.9385376,32.91611481,30.92635155,30.95212555,31.95508575,29.91944885,27.91314697,29.94266891,30.93157959,28.92700005,28.93403816,28.93702507,31.9432869,31.91073418,27.9345932,28.93066978,30.91461945,30.92731667
170,22 h,29.94522667,28.936203,27.89235497,29.9044838,28.90733337,30.90245056,26.92888641,30.92176437,32.92146683,30.90976715,27.91292572,31.92098808,33.93342972,29.94019127,32.93541718,33.9305191,31.92594337,30.88382339,28.93093109,30.94229317,28.93983269,26.91738319,28.95152664,30.92832565,27.92655754,27.9269104,27.93595505,31.94083214,31.91873741,27.93652344,27.93587112,30.92557144,29.93423462
171,22 h 10 min,28.93628502,29.94933891,28.88333321,29.89461327,27.89581108,29.89889526,26.93569565,30.9177475,33.92975235,30.90911674,27.91416168,32.902771,34.93140411,28.92418671,32.92245483,34.95297241,33.9052124,29.88147736,29.93408203,31.97917747,28.90591049,26.92098618,28.93711662,29.90888214,28.93967819,27.92213821,27.93835068,31.95264626,29.91508484,27.92779732,28.95511055,30.92922974,29.93081856
172,14 h 20 min,27.94086456,26.93845367,26.90379143,27.92682076,26.91318703,28.94986343,25.92824745,28.94649315,28.93442726,27.92037201,26.909935,28.93609047,28.92833328,27.93736076,28.93717575,28.94154549,28.93330002,27.89754677,26.91794014,28.9583416,26.88664055,24.91753578,25.92876244,27.93055534,25.92576408,25.91278267,25.92599869,27.93374252,28.91538239,25.92154503,25.92736435,27.93469238,26.92850876
173,14 h 30 min,27.92845726,27.9327755,25.89035797,26.91831398,25.89702988,28.93227577,25.92409515,28.93567276,29.9050808,28.92154503,26.9098568,28.92494774,30.93450356,27.91641045,29.92267799,29.92980385,29.9206295,28.89652824,27.9190712,30.97582626,26.87777901,24.90420723,26.94392395,27.90735626,26.94056702,26.93830109,26.93636703,28.9376564,28.94574738,26.94654465,26.94284821,27.92835999,27.93327141
174,17 h 35 min,25.9401226,24.94618034,25.92283821,26.94559669,24.90767479,28.94550705,22.92839813,25.93483353,29.92553139,26.91462326,23.91840553,28.93196678,29.91974831,27.92952919,27.93163681,29.93330002,28.92830276,26.90358925,25.94205093,26.96274567,24.86933708,21.91092873,23.96020508,25.92344666,23.9386692,22.91910744,22.92811203,26.92894363,26.91221046,24.93719673,22.92915916,25.93711281,24.92624092
175,17 h 50 min,25.93247986,24.94001961,25.92703056,26.93331909,25.90738678,28.9294796,22.94204521,25.94190788,29.92433167,27.92798424,23.93155479,29.93214226,30.93608093,27.92396927,28.93926239,30.94521332,28.92726707,26.92667007,25.93144608,26.95998955,24.89809418,21.91309738,23.92949486,26.94137573,23.92538834,22.9150238,23.93782806,26.92148399,25.91743088,24.94198227,23.94232368,25.9333992,25.94709206
176,18 h,25.92734337,24.94714928,24.91161346,26.9127655,24.90454292,27.90936852,23.93997955,25.93267441,28.93346214,27.93952942,24.93271255,28.92867279,28.93179703,27.94417191,27.94464684,29.9411335,28.93074226,26.90657425,25.92527199,26.94251442,24.94670677,22.91426659,23.93013191,26.92502975,23.9308033,23.92281342,23.93358612,26.92940521,26.91911697,23.92657089,23.92948532,25.94215584,25.9461956
177,18 h 10 min,26.94138718,25.93984222,24.91362,26.92763138,25.91296196,29.93326187,23.92329025,27.94468307,31.93507004,28.92445374,24.91349792,29.93441772,31.93165398,27.91864395,29.94102287,31.95232773,30.92429924,28.8936348,26.94259262,27.96315002,24.88404655,23.9177475,24.95643616,27.92850304,27.98069572,24.93161774,24.94226837,27.93804741,28.91931725,24.93132591,24.93791962,26.94940758,25.93221855
178,18 h 20 min,25.92810822,25.93748474,25.92774582,26.92250443,24.8858242,28.90638351,23.93516731,26.93219376,29.91831207,27.92078209,24.90828323,29.92575264,27.92974091,27.93029594,28.92960548,31.93391991,29.92340279,27.89876938,26.9250164,27.97282028,25.87667847,22.91594124,24.9419899,26.9230175,23.92949104,23.92127991,24.95108986,26.92552948,27.93839073,24.9332695,23.93824959,26.9399929,25.92979622
179,18 h 30 min,25.93043137,24.93872261,25.91392899,26.93384171,25.89554024,29.92485046,23.93493843,26.94012451,30.9132061,28.93126297,24.91899681,29.91507339,31.94925499,27.91653252,29.93699837,31.95247841,30.93183899,27.9149971,26.93146515,27.96770096,24.93374062,22.92601395,24.95705986,26.91964722,24.9417572,23.91734886,23.92795944,27.9384861,27.92931175,24.93170929,23.93136024,25.93408585,25.93383026
180,18 h 35 min,25.93077278,24.9363327,24.91525841,25.94075203,24.90345955,28.9243145,23.95059776,26.93460655,29.91200256,27.92186165,24.9258728,27.92023468,30.92144203,27.92926407,26.93969536,30.92457199,29.9311657,27.8999157,26.93237305,26.95696449,24.90306854,22.91533661,23.93848801,26.91545486,23.93721581,23.94838715,23.9407692,26.91886902,27.91439629,23.93831444,23.94698143,25.93999481,25.93709373
181,18 h 55 min,26.94480896,25.93969917,25.91093826,26.98214722,25.89853477,29.93363571,24.95105362,27.9296608,30.91704559,27.90895081,24.90987778,29.92078781,31.91942787,28.94033432,28.93816948,30.93099594,30.91806793,28.89875793,26.91391182,27.94692039,25.90021896,22.91436577,25.94820023,27.91326523,24.93428612,24.92897797,24.93581581,27.93014145,28.92255402,23.93299484,24.93642998,26.93966866,26.9514122
182,19 h 15 min,26.95061493,25.93850708,26.91924667,27.92655945,25.89860344,28.91115379,23.92938042,27.95010185,31.92756844,27.92049026,24.90152359,29.91890717,31.91927338,27.91849899,29.92814064,30.95036125,29.92476463,27.89860153,26.95035744,27.96949768,25.89267731,23.91807556,25.95898056,26.92259026,24.93242073,24.92930984,24.9352684,27.93647957,28.91357613,24.93849182,24.93971825,26.9370575,26.94576836
183,19 h 25 min,26.95143127,25.93636513,25.92520905,28.94327736,26.9111805,28.93395615,23.92830467,26.93772125,30.92489815,27.92238235,24.92772102,29.93682098,30.92172241,27.93072701,29.93585396,30.93430328,29.92583466,27.90292358,26.92806244,28.96897888,25.8570118,22.905159,25.93695641,26.90948677,24.94033051,24.94490814,24.94647408,27.95983887,27.92656517,24.94098854,24.94928169,26.92914581,26.94041061
184,19 h 35 min,26.94260406,26.94597435,25.90817833,27.93335724,25.89135742,27.93550873,23.93001747,26.93200493,29.93326187,27.92466164,25.91373062,29.9380188,29.92784309,27.93525124,28.93497086,30.94604301,28.91889191,27.88742065,26.93845749,27.95041847,25.87923431,23.91752434,25.95463371,26.91389656,24.93549156,24.93667793,24.93811226,27.95144081,27.90736198,24.94808769,24.9416256,26.92849541,26.95665741
185,19 h 45 min,27.93173409,29.95408249,27.90552902,28.89836311,25.93741608,27.91363335,26.9257431,29.93010712,29.91430855,28.90061569,27.91270256,29.91737175,31.9456749,28.93338585,31.94679451,30.92508507,29.92106056,29.90036774,29.94183159,30.95105934,27.89271355,26.90925407,28.94046211,29.92491722,27.9278965,27.9199543,28.92671394,29.94606972,30.93588257,27.93215179,28.94234276,29.93830299,29.94759369
186,18 h 30 min,26.94969559,25.94337082,26.93307114,27.92552567,25.89829063,27.92296982,23.93959236,27.93476868,32.93671036,28.91696548,24.90050697,30.93655586,33.93445206,27.90802002,30.94365692,32.92995834,31.92357635,28.88850784,26.94571686,27.9540062,25.91426468,23.92645264,25.94393349,27.91996956,24.92241287,24.91368294,23.94340134,28.93225098,28.92297935,24.92012787,24.93625069,26.94733238,26.92142105
187,18 h 40 min,26.92989159,26.94086266,26.89992714,27.92796516,25.90976143,27.93458748,23.92052841,27.93681717,30.92343712,27.92635918,24.91431618,30.92833328,31.93901634,27.93140411,29.92491722,30.93404198,30.93394661,28.90627098,26.91132545,28.98123169,25.92891121,23.91486549,25.95105362,27.92262268,25.94722366,24.92864418,24.9416256,28.9529686,28.92813683,24.93683434,24.93818283,27.94695473,26.92046356
